id,owner,kind,score,review_result,round,max_rounds,path,review
@fs/improve-fs-search-pages,fs,leaf,94,PASS,2,5,fs.ctg/.cartridge/prds/improve-fs-search-pages/prd.md,fs.ctg/.cartridge/prds/improve-fs-search-pages/review.md
@gitfs/improve-gitfs-readable-diff,gitfs,leaf,94,PASS,2,5,gitfs.ctg/.cartridge/prds/improve-gitfs-readable-diff/prd.md,gitfs.ctg/.cartridge/prds/improve-gitfs-readable-diff/review.md
@gitfs/improve-gitfs-reviewable-ship,gitfs,leaf,94,PASS,2,5,gitfs.ctg/.cartridge/prds/improve-gitfs-reviewable-ship/prd.md,gitfs.ctg/.cartridge/prds/improve-gitfs-reviewable-ship/review.md
@gitfs/improve-gitfs-snapshot-selection,gitfs,leaf,94,PASS,2,5,gitfs.ctg/.cartridge/prds/improve-gitfs-snapshot-selection/prd.md,gitfs.ctg/.cartridge/prds/improve-gitfs-snapshot-selection/review.md
@harness/improve-harness-compaction-diff,harness,leaf,94,PASS,2,5,harness.ctg/.cartridge/prds/improve-harness-compaction-diff/prd.md,harness.ctg/.cartridge/prds/improve-harness-compaction-diff/review.md
@harness/improve-harness-quality-eval,harness,leaf,94,PASS,2,5,harness.ctg/.cartridge/prds/improve-harness-quality-eval/prd.md,harness.ctg/.cartridge/prds/improve-harness-quality-eval/review.md
@harness/improve-harness-token-accounting,harness,leaf,94,PASS,2,5,harness.ctg/.cartridge/prds/improve-harness-token-accounting/prd.md,harness.ctg/.cartridge/prds/improve-harness-token-accounting/review.md
@mcp/improve-mcp-approval-route,mcp,leaf,94,PASS,2,5,mcp.ctg/.cartridge/prds/improve-mcp-approval-route/prd.md,mcp.ctg/.cartridge/prds/improve-mcp-approval-route/review.md
@mcp/improve-mcp-refresh-catalog,mcp,leaf,94,PASS,2,5,mcp.ctg/.cartridge/prds/improve-mcp-refresh-catalog/prd.md,mcp.ctg/.cartridge/prds/improve-mcp-refresh-catalog/review.md
@mcp/improve-mcp-tool-readiness,mcp,leaf,94,PASS,2,5,mcp.ctg/.cartridge/prds/improve-mcp-tool-readiness/prd.md,mcp.ctg/.cartridge/prds/improve-mcp-tool-readiness/review.md
@landscape/improve-memo-compact-landscape,landscape,leaf,94,PASS,2,5,landscape.ctg/.cartridge/prds/improve-memo-compact-landscape/prd.md,landscape.ctg/.cartridge/prds/improve-memo-compact-landscape/review.md
@memo/improve-memo-stale-evidence,memo,leaf,94,PASS,2,5,memo.ctg/.cartridge/prds/improve-memo-stale-evidence/prd.md,memo.ctg/.cartridge/prds/improve-memo-stale-evidence/review.md
@memo/improve-memo-types-drilldown,memo,leaf,94,PASS,2,5,memo.ctg/.cartridge/prds/improve-memo-types-drilldown/prd.md,memo.ctg/.cartridge/prds/improve-memo-types-drilldown/review.md
@memory/improve-memory-owner-access,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/improve-memory-owner-access/prd.md,memory.ctg/.cartridge/prds/improve-memory-owner-access/review.md
@memory/improve-memory-provenance,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/improve-memory-provenance/prd.md,memory.ctg/.cartridge/prds/improve-memory-provenance/review.md
@memory/improve-memory-readiness,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/improve-memory-readiness/prd.md,memory.ctg/.cartridge/prds/improve-memory-readiness/review.md
@memory/improve-memory-tool-correct,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/improve-memory-tool-correct/prd.md,memory.ctg/.cartridge/prds/improve-memory-tool-correct/review.md
@memory/improve-memory-tool-errors,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/improve-memory-tool-errors/prd.md,memory.ctg/.cartridge/prds/improve-memory-tool-errors/review.md
@memory/improve-memory-tool-get,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/improve-memory-tool-get/prd.md,memory.ctg/.cartridge/prds/improve-memory-tool-get/review.md
@policy/improve-policy-explain,policy,leaf,94,PASS,2,5,policy.ctg/.cartridge/prds/improve-policy-explain/prd.md,policy.ctg/.cartridge/prds/improve-policy-explain/review.md
@policy/improve-policy-operation-rules,policy,leaf,94,PASS,2,5,policy.ctg/.cartridge/prds/improve-policy-operation-rules/prd.md,policy.ctg/.cartridge/prds/improve-policy-operation-rules/review.md
@policy/improve-policy-resource-scope,policy,leaf,94,PASS,2,5,policy.ctg/.cartridge/prds/improve-policy-resource-scope/prd.md,policy.ctg/.cartridge/prds/improve-policy-resource-scope/review.md
@proxy/improve-proxy-continuation-recovery,proxy,leaf,94,PASS,2,5,proxy.ctg/.cartridge/prds/improve-proxy-continuation-recovery/prd.md,proxy.ctg/.cartridge/prds/improve-proxy-continuation-recovery/review.md
@proxy/improve-proxy-tool-trace,proxy,leaf,94,PASS,2,5,proxy.ctg/.cartridge/prds/improve-proxy-tool-trace/prd.md,proxy.ctg/.cartridge/prds/improve-proxy-tool-trace/review.md
@proxy/improve-proxy-total-usage,proxy,leaf,94,PASS,2,5,proxy.ctg/.cartridge/prds/improve-proxy-total-usage/prd.md,proxy.ctg/.cartridge/prds/improve-proxy-total-usage/review.md
@pty/improve-pty-command-wait,pty,leaf,94,PASS,2,5,pty.ctg/.cartridge/prds/improve-pty-command-wait/prd.md,pty.ctg/.cartridge/prds/improve-pty-command-wait/review.md
@pty/improve-pty-input-ownership,pty,leaf,94,PASS,2,5,pty.ctg/.cartridge/prds/improve-pty-input-ownership/prd.md,pty.ctg/.cartridge/prds/improve-pty-input-ownership/review.md
@pty/improve-pty-shell-identity,pty,leaf,94,PASS,2,5,pty.ctg/.cartridge/prds/improve-pty-shell-identity/prd.md,pty.ctg/.cartridge/prds/improve-pty-shell-identity/review.md
@router/improve-router-capability-routing,router,leaf,94,PASS,2,5,router.ctg/.cartridge/prds/improve-router-capability-routing/prd.md,router.ctg/.cartridge/prds/improve-router-capability-routing/review.md
@router/improve-router-cost-latency,router,leaf,94,PASS,2,5,router.ctg/.cartridge/prds/improve-router-cost-latency/prd.md,router.ctg/.cartridge/prds/improve-router-cost-latency/review.md
@router/improve-router-route-explanation,router,leaf,94,PASS,2,5,router.ctg/.cartridge/prds/improve-router-route-explanation/prd.md,router.ctg/.cartridge/prds/improve-router-route-explanation/review.md
@sessions/improve-sessions-client-mapping,sessions,leaf,94,PASS,2,5,sessions.ctg/.cartridge/prds/improve-sessions-client-mapping/prd.md,sessions.ctg/.cartridge/prds/improve-sessions-client-mapping/review.md
@sessions/improve-sessions-recovery,sessions,leaf,94,PASS,2,5,sessions.ctg/.cartridge/prds/improve-sessions-recovery/prd.md,sessions.ctg/.cartridge/prds/improve-sessions-recovery/review.md
@sessions/improve-sessions-retention,sessions,leaf,94,PASS,2,5,sessions.ctg/.cartridge/prds/improve-sessions-retention/prd.md,sessions.ctg/.cartridge/prds/improve-sessions-retention/review.md
@runtime/improve-tools-bundle-provenance,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/improve-tools-bundle-provenance/prd.md,cartridge.ctg/.cartridge/prds/improve-tools-bundle-provenance/review.md
@runtime/improve-tools-preflight,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/improve-tools-preflight/prd.md,cartridge.ctg/.cartridge/prds/improve-tools-preflight/review.md
@runtime/improve-tools-worktree-resume,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/improve-tools-worktree-resume/prd.md,cartridge.ctg/.cartridge/prds/improve-tools-worktree-resume/review.md
@ui/improve-ui-run-history,ui,leaf,94,PASS,2,5,ui.ctg/.cartridge/prds/improve-ui-run-history/prd.md,ui.ctg/.cartridge/prds/improve-ui-run-history/review.md
@ui/improve-ui-terminal-owner,ui,leaf,94,PASS,2,5,ui.ctg/.cartridge/prds/improve-ui-terminal-owner/prd.md,ui.ctg/.cartridge/prds/improve-ui-terminal-owner/review.md
@ui/improve-ui-tool-availability,ui,leaf,94,PASS,2,5,ui.ctg/.cartridge/prds/improve-ui-tool-availability/prd.md,ui.ctg/.cartridge/prds/improve-ui-tool-availability/review.md
cartridge-improvement-programme,root,rollup,94,PASS,2,5,.cartridge/prds/cartridge-improvement-programme/prd.md,.cartridge/prds/cartridge-improvement-programme/review.md
@agent/improve-agent-programme,agent,rollup,94,PASS,2,5,agent.ctg/.cartridge/prds/improve-agent-programme/prd.md,agent.ctg/.cartridge/prds/improve-agent-programme/review.md
@fs/improve-fs-programme,fs,rollup,94,PASS,2,5,fs.ctg/.cartridge/prds/improve-fs-programme/prd.md,fs.ctg/.cartridge/prds/improve-fs-programme/review.md
@gitfs/improve-gitfs-programme,gitfs,rollup,94,PASS,2,5,gitfs.ctg/.cartridge/prds/improve-gitfs-programme/prd.md,gitfs.ctg/.cartridge/prds/improve-gitfs-programme/review.md
@harness/improve-harness-programme,harness,rollup,94,PASS,2,5,harness.ctg/.cartridge/prds/improve-harness-programme/prd.md,harness.ctg/.cartridge/prds/improve-harness-programme/review.md
@mcp/improve-mcp-programme,mcp,rollup,94,PASS,2,5,mcp.ctg/.cartridge/prds/improve-mcp-programme/prd.md,mcp.ctg/.cartridge/prds/improve-mcp-programme/review.md
@memo/improve-memo-programme,memo,rollup,94,PASS,2,5,memo.ctg/.cartridge/prds/improve-memo-programme/prd.md,memo.ctg/.cartridge/prds/improve-memo-programme/review.md
@memory/improve-memory-programme,memory,rollup,94,PASS,2,5,memory.ctg/.cartridge/prds/improve-memory-programme/prd.md,memory.ctg/.cartridge/prds/improve-memory-programme/review.md
@memory/improve-memory-tool-programme,memory,rollup,94,PASS,2,5,memory.ctg/.cartridge/prds/improve-memory-tool-programme/prd.md,memory.ctg/.cartridge/prds/improve-memory-tool-programme/review.md
@policy/improve-policy-programme,policy,rollup,94,PASS,2,5,policy.ctg/.cartridge/prds/improve-policy-programme/prd.md,policy.ctg/.cartridge/prds/improve-policy-programme/review.md
@proxy/improve-proxy-programme,proxy,rollup,94,PASS,2,5,proxy.ctg/.cartridge/prds/improve-proxy-programme/prd.md,proxy.ctg/.cartridge/prds/improve-proxy-programme/review.md
@pty/improve-pty-programme,pty,rollup,94,PASS,2,5,pty.ctg/.cartridge/prds/improve-pty-programme/prd.md,pty.ctg/.cartridge/prds/improve-pty-programme/review.md
@router/improve-router-programme,router,rollup,94,PASS,2,5,router.ctg/.cartridge/prds/improve-router-programme/prd.md,router.ctg/.cartridge/prds/improve-router-programme/review.md
@sessions/improve-sessions-programme,sessions,rollup,94,PASS,2,5,sessions.ctg/.cartridge/prds/improve-sessions-programme/prd.md,sessions.ctg/.cartridge/prds/improve-sessions-programme/review.md
@runtime/improve-tools-programme,runtime,rollup,94,PASS,2,5,cartridge.ctg/.cartridge/prds/improve-tools-programme/prd.md,cartridge.ctg/.cartridge/prds/improve-tools-programme/review.md
@ui/improve-ui-programme,ui,rollup,94,PASS,2,5,ui.ctg/.cartridge/prds/improve-ui-programme/prd.md,ui.ctg/.cartridge/prds/improve-ui-programme/review.md
@sessions/a-board-message-is-a-reference-not-a-payload,sessions,leaf,94,PASS,2,5,sessions.ctg/.cartridge/prds/a-board-message-is-a-reference-not-a-payload/prd.md,sessions.ctg/.cartridge/prds/a-board-message-is-a-reference-not-a-payload/review.md
@runtime/a-cartridge-installs-from-its-source,runtime,leaf,93,PASS,2,5,cartridge.ctg/.cartridge/prds/a-cartridge-installs-from-its-source/prd.md,cartridge.ctg/.cartridge/prds/a-cartridge-installs-from-its-source/review.md
@runtime/a-key-starts-its-provider-on-demand,runtime,leaf,93,PASS,2,5,cartridge.ctg/.cartridge/prds/a-key-starts-its-provider-on-demand/prd.md,cartridge.ctg/.cartridge/prds/a-key-starts-its-provider-on-demand/review.md
@runtime/a-listener-subscribes-to-event-types,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/a-listener-subscribes-to-event-types/prd.md,cartridge.ctg/.cartridge/prds/a-listener-subscribes-to-event-types/review.md
@agent/a-live-run-accepts-events-from-outside,agent,leaf,94,PASS,2,5,agent.ctg/.cartridge/prds/a-live-run-accepts-events-from-outside/prd.md,agent.ctg/.cartridge/prds/a-live-run-accepts-events-from-outside/review.md
@agent/a-priority-event-unblocks-the-step,agent,leaf,94,PASS,2,5,agent.ctg/.cartridge/prds/a-priority-event-unblocks-the-step/prd.md,agent.ctg/.cartridge/prds/a-priority-event-unblocks-the-step/review.md
@landscape/a-search-ranks-current-guidance-over-delivered-history,landscape,leaf,94,PASS,2,5,landscape.ctg/.cartridge/prds/a-search-ranks-current-guidance-over-delivered-history/prd.md,landscape.ctg/.cartridge/prds/a-search-ranks-current-guidance-over-delivered-history/review.md
@memo/a-shadowing-write-passes-the-leaf-check,memo,leaf,94,PASS,2,5,memo.ctg/.cartridge/prds/a-shadowing-write-passes-the-leaf-check/prd.md,memo.ctg/.cartridge/prds/a-shadowing-write-passes-the-leaf-check/review.md
@agent/a-stalled-step-raises-its-own-event,agent,leaf,94,PASS,2,5,agent.ctg/.cartridge/prds/a-stalled-step-raises-its-own-event/prd.md,agent.ctg/.cartridge/prds/a-stalled-step-raises-its-own-event/review.md
@landscape/a-usage-ranked-tool-graph-serves-the-best-way,landscape,leaf,94,PASS,2,5,landscape.ctg/.cartridge/prds/a-usage-ranked-tool-graph-serves-the-best-way/prd.md,landscape.ctg/.cartridge/prds/a-usage-ranked-tool-graph-serves-the-best-way/review.md
@sessions/an-agent-is-one-lookup-from-the-roster,sessions,leaf,93,PASS,2,5,sessions.ctg/.cartridge/prds/an-agent-is-one-lookup-from-the-roster/prd.md,sessions.ctg/.cartridge/prds/an-agent-is-one-lookup-from-the-roster/review.md
@agent/an-event-declares-its-type,agent,leaf,94,PASS,2,5,agent.ctg/.cartridge/prds/an-event-declares-its-type/prd.md,agent.ctg/.cartridge/prds/an-event-declares-its-type/review.md
@runtime/cartridges-compose-recursively,runtime,rollup,94,PASS,2,5,cartridge.ctg/.cartridge/prds/cartridges-compose-recursively/prd.md,cartridge.ctg/.cartridge/prds/cartridges-compose-recursively/review.md
@runtime/ci-proves-the-supported-terminal-matrix,runtime,leaf,93,PASS,2,5,cartridge.ctg/.cartridge/prds/ci-proves-the-supported-terminal-matrix/prd.md,cartridge.ctg/.cartridge/prds/ci-proves-the-supported-terminal-matrix/review.md
@ui/copy-mode-interacts-with-the-text,ui,leaf,94,PASS,2,5,ui.ctg/.cartridge/prds/copy-mode-interacts-with-the-text/prd.md,ui.ctg/.cartridge/prds/copy-mode-interacts-with-the-text/review.md
@agent/debug-mode-correlates-a-terminal-turn,agent,rollup,94,PASS,2,5,agent.ctg/.cartridge/prds/debug-mode-correlates-a-terminal-turn/prd.md,agent.ctg/.cartridge/prds/debug-mode-correlates-a-terminal-turn/review.md
every-enabled-tool-ships-a-contract-probe,root,leaf,93,PASS,2,5,.cartridge/prds/every-enabled-tool-ships-a-contract-probe/prd.md,.cartridge/prds/every-enabled-tool-ships-a-contract-probe/review.md
@landscape/one-search-covers-the-record-and-memory,landscape,leaf,94,PASS,2,5,landscape.ctg/.cartridge/prds/one-search-covers-the-record-and-memory/prd.md,landscape.ctg/.cartridge/prds/one-search-covers-the-record-and-memory/review.md
@runtime/per-cartridge-versioned-test-runner,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/per-cartridge-versioned-test-runner/prd.md,cartridge.ctg/.cartridge/prds/per-cartridge-versioned-test-runner/review.md
@runtime/runtime-stays-small-and-provable,runtime,rollup,94,PASS,2,5,cartridge.ctg/.cartridge/prds/runtime-stays-small-and-provable/prd.md,cartridge.ctg/.cartridge/prds/runtime-stays-small-and-provable/review.md
@sessions/sub-agent-sessions-record-parent-and-mailbox,sessions,leaf,94,PASS,2,5,sessions.ctg/.cartridge/prds/sub-agent-sessions-record-parent-and-mailbox/prd.md,sessions.ctg/.cartridge/prds/sub-agent-sessions-record-parent-and-mailbox/review.md
@agent/sub-agents-share-the-terminal,agent,rollup,94,PASS,2,5,agent.ctg/.cartridge/prds/sub-agents-share-the-terminal/prd.md,agent.ctg/.cartridge/prds/sub-agents-share-the-terminal/review.md
@agent/the-agent-spawns-wakes-and-owns-sub-agents,agent,leaf,94,PASS,2,5,agent.ctg/.cartridge/prds/the-agent-spawns-wakes-and-owns-sub-agents/prd.md,agent.ctg/.cartridge/prds/the-agent-spawns-wakes-and-owns-sub-agents/review.md
@sessions/the-agents-chat-through-one-tool,sessions,leaf,93,PASS,2,5,sessions.ctg/.cartridge/prds/the-agents-chat-through-one-tool/prd.md,sessions.ctg/.cartridge/prds/the-agents-chat-through-one-tool/review.md
@sessions/the-board-log-replays-who-did-what,sessions,leaf,93,PASS,2,5,sessions.ctg/.cartridge/prds/the-board-log-replays-who-did-what/prd.md,sessions.ctg/.cartridge/prds/the-board-log-replays-who-did-what/review.md
@ui/the-embedded-terminal-is-gone,ui,leaf,94,PASS,2,5,ui.ctg/.cartridge/prds/the-embedded-terminal-is-gone/prd.md,ui.ctg/.cartridge/prds/the-embedded-terminal-is-gone/review.md
@ui/the-gutter-is-the-boundary,ui,rollup,94,PASS,2,5,ui.ctg/.cartridge/prds/the-gutter-is-the-boundary/prd.md,ui.ctg/.cartridge/prds/the-gutter-is-the-boundary/review.md
@ui/the-gutter-shows-both-sides,ui,leaf,94,PASS,2,5,ui.ctg/.cartridge/prds/the-gutter-shows-both-sides/prd.md,ui.ctg/.cartridge/prds/the-gutter-shows-both-sides/review.md
@ui/the-inline-agent,ui,rollup,94,PASS,2,5,ui.ctg/.cartridge/prds/the-inline-agent/prd.md,ui.ctg/.cartridge/prds/the-inline-agent/review.md
@runtime/the-memory-workspace-is-tracked-not-patched,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/the-memory-workspace-is-tracked-not-patched/prd.md,cartridge.ctg/.cartridge/prds/the-memory-workspace-is-tracked-not-patched/review.md
@ui/the-panel-switches-to-a-sub-agent,ui,leaf,93,PASS,2,5,ui.ctg/.cartridge/prds/the-panel-switches-to-a-sub-agent/prd.md,ui.ctg/.cartridge/prds/the-panel-switches-to-a-sub-agent/review.md
@runtime/the-profile-is-the-root-composer,runtime,leaf,93,PASS,2,5,cartridge.ctg/.cartridge/prds/the-profile-is-the-root-composer/prd.md,cartridge.ctg/.cartridge/prds/the-profile-is-the-root-composer/review.md
@runtime/the-reload-test-is-not-flaky,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/the-reload-test-is-not-flaky/prd.md,cartridge.ctg/.cartridge/prds/the-reload-test-is-not-flaky/review.md
@agent/the-run-is-a-stream-of-typed-events,agent,rollup,94,PASS,2,5,agent.ctg/.cartridge/prds/the-run-is-a-stream-of-typed-events/prd.md,agent.ctg/.cartridge/prds/the-run-is-a-stream-of-typed-events/review.md
@sessions/the-swarm-talks-on-a-board,sessions,rollup,94,PASS,2,5,sessions.ctg/.cartridge/prds/the-swarm-talks-on-a-board/prd.md,sessions.ctg/.cartridge/prds/the-swarm-talks-on-a-board/review.md
@ui/the-ui-paints-the-grid,ui,leaf,93,PASS,2,5,ui.ctg/.cartridge/prds/the-ui-paints-the-grid/prd.md,ui.ctg/.cartridge/prds/the-ui-paints-the-grid/review.md
the-vision,root,rollup,94,PASS,2,5,.cartridge/prds/the-vision/prd.md,.cartridge/prds/the-vision/review.md
tool-probes-run-and-locate-a-failing-provider,root,leaf,94,PASS,2,5,.cartridge/prds/tool-probes-run-and-locate-a-failing-provider/prd.md,.cartridge/prds/tool-probes-run-and-locate-a-failing-provider/review.md
@runtime/a-lanes-build-can-hand-back-a-siblings-binary,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/a-lanes-build-can-hand-back-a-siblings-binary/prd.md,cartridge.ctg/.cartridge/prds/a-lanes-build-can-hand-back-a-siblings-binary/review.md
@runtime/a-plugins-ingests-unwind-with-it,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/a-plugins-ingests-unwind-with-it/prd.md,cartridge.ctg/.cartridge/prds/a-plugins-ingests-unwind-with-it/review.md
@runtime/an-ancestry-test-cannot-tell-a-live-lane-from-an-abandoned-one,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/an-ancestry-test-cannot-tell-a-live-lane-from-an-abandoned-one/prd.md,cartridge.ctg/.cartridge/prds/an-ancestry-test-cannot-tell-a-live-lane-from-an-abandoned-one/review.md
@router/audit-mine-for-native-memory-integration,router,leaf,94,PASS,2,5,router.ctg/.cartridge/prds/audit-mine-for-native-memory-integration/prd.md,router.ctg/.cartridge/prds/audit-mine-for-native-memory-integration/review.md
@memory/degrade-corrects-the-retrieval-path-it-names,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/degrade-corrects-the-retrieval-path-it-names/prd.md,memory.ctg/.cartridge/prds/degrade-corrects-the-retrieval-path-it-names/review.md
@runtime/disk-adapters-detach-without-forgetting-memory,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/disk-adapters-detach-without-forgetting-memory/prd.md,cartridge.ctg/.cartridge/prds/disk-adapters-detach-without-forgetting-memory/review.md
@memory/every-mutation-holds-the-store-writer-boundary,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/every-mutation-holds-the-store-writer-boundary/prd.md,memory.ctg/.cartridge/prds/every-mutation-holds-the-store-writer-boundary/review.md
@runtime/extension-inspect,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/extension-inspect/prd.md,cartridge.ctg/.cartridge/prds/extension-inspect/review.md
@runtime/extension-loader-plugin-tree,runtime,leaf,94,PASS,2,5,cartridge.ctg/.cartridge/prds/extension-loader-plugin-tree/prd.md,cartridge.ctg/.cartridge/prds/extension-loader-plugin-tree/review.md
@memory/keep-the-tree-and-record-true,memory,rollup,94,PASS,2,5,memory.ctg/.cartridge/prds/keep-the-tree-and-record-true/prd.md,memory.ctg/.cartridge/prds/keep-the-tree-and-record-true/review.md
@memory/memory-daemon-boots-a-root-context,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/memory-daemon-boots-a-root-context/prd.md,memory.ctg/.cartridge/prds/memory-daemon-boots-a-root-context/review.md
@memory/memory-health-loads-its-own-graph-beside-the-daemon,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/memory-health-loads-its-own-graph-beside-the-daemon/prd.md,memory.ctg/.cartridge/prds/memory-health-loads-its-own-graph-beside-the-daemon/review.md
@memory/memory-integration-assessment,memory,rollup,94,PASS,2,5,memory.ctg/.cartridge/prds/memory-integration-assessment/prd.md,memory.ctg/.cartridge/prds/memory-integration-assessment/review.md
@memory/memory-signals-become-events,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/memory-signals-become-events/prd.md,memory.ctg/.cartridge/prds/memory-signals-become-events/review.md
@memory/multimodal-content-reaches-the-graph,memory,leaf,94,PASS,2,5,memory.ctg/.cartridge/prds/multimodal-content-reaches-the-graph/prd.md,memory.ctg/.cartridge/prds/multimodal-content-reaches-the-graph/review.md
